Status,요구사항 ID,요구사항명,기능 ID,기능명,상세 기능,필수 데이터,선택 데이터,순위,진행상황,마감일,담당자
시작 전,MEM_00,로그인,MEM_001,자체 로그인 기능,이메일과 비밀번호 입력해 로그인을 할 수 있다.,"비밀번호, 이메일 ",,0순위,예정,,
진행 중,MEM_00,로그인,MEM_002,카카오 연동 로그인,카카오 API를 이용하여 백엔드 DB와 매칭 후 로그인을 진행한다.,"닉네임, 이메일",프로필,1순위,예정,,
시작 전,MEM_00,로그인,MEM_003,아이디 찾기,이름과 등록된 전화번호를 이용해 인증한다.,"이름, 전화번호",,0순위,예정,,
시작 전,MEM_00,로그인,MEM_004,비밀번호 재설정,"비밀번호를 임시 비밀번호로 재설정 해주고, 인증된 이메일로 전송한다.",이메일,,0순위,예정,,
시작 전,MEM_00,로그인,MEM_005,이메일 저장(로그인 시),다음 로그인시 이메일이 미리 입력되어 있어야 한다.,쿠키 데이터,,1순위,예정,,
시작 전,MEM_00,로그인,MEM_006,로봇방지,reCAPTCHA를 통해 로그인 대상이 봇이 아님을 검증한다.,,,4순위,예정,,
시작 전,MEM_01,회원가입,MEM_011,개인 회원가입,"- 닉네임은 중복되지 않아야 한다.
- 비밀번호는 (영문, 숫자, 특수문자 (!@#$%^&*+=-)를 모두 조합한 8자 이상) 조건을 만족해야 한다.
- 이메일은 중복되지 않아야 한다.
- 전화번호는 중복되지 않아야 한다.","비밀번호, 이메일 , 이름, 닉네임, 전화번호",,0순위,예정,,
시작 전,MEM_01,회원가입,MEM_012,단체 회원가입,"- 단체는 VMS에 등록된 단체여야 가입이 가능하다.
- 단체는 위촉번호 중복을 허용하지 않는다.","비밀번호, 이메일 , VMS 단체 정보(이름), VMS 위촉 정보(위촉 번호)",,0순위,예정,,
시작 전,MEM_01,회원가입,MEM_013,카카오 연동해 시작하기 (개인),"- 카카오 API를 이용하여 백엔드 DB와 매칭 후 회원가입을 진행한다.
- 프로필 사진, 닉네임(카카오톡 이름), 이메일, 전화번호","카카오 아이디(이메일), 비밀번호",,1순위,예정,,
시작 전,MEM_02,로그아웃,MEM_021,로그아웃,스토리지에 저장된 토큰을 지워 로그아웃 처리를 한다.,,,0순위,예정,,
